day_of_year,year,fact_fragment,fact_statement,was_submitted
24,1438,"the Council of Basel suspends Pope Eugene IV as Prelate of Ethiopia, arrives at Massawa from Goa","January 24 is the day in 1438 that the Council of Basel suspends Pope Eugene IV as Prelate of Ethiopia, arrives at Massawa from Goa.",False
24,1742,Charles VII Albert becomes Holy Roman Emperor,January 24 is the day in 1742 that Charles VII Albert becomes Holy Roman Emperor.,False
24,1857,the University of Calcutta is formally founded as the first fully-fledged university in south Asia,January 24 is the day in 1857 that the University of Calcutta is formally founded as the first fully-fledged university in south Asia.,False
24,1862,Bucharest is proclaimed capital of Romania,January 24 is the day in 1862 that Bucharest is proclaimed capital of Romania.,False
24,1878,"the revolutionary Vera Zasulich shoots at Fyodor Trepov, the Governor of Saint Petersburg","January 24 is the day in 1878 that the revolutionary Vera Zasulich shoots at Fyodor Trepov, the Governor of Saint Petersburg.",False
24,1908,the first Boy Scout troop is organized in England by Robert Baden-Powell,January 24 is the day in 1908 that the first Boy Scout troop is organized in England by Robert Baden-Powell.,False
24,1918,the Gregorian calendar is introduced in Russia by decree of the Council of People's Commissars effective February 14(NS),January 24 is the day in 1918 that the Gregorian calendar is introduced in Russia by decree of the Council of People's Commissars effective February 14(NS).,False
24,1939,the deadliest earthquake in Chilean history strikes Chillán,January 24 is the day in 1939 that the deadliest earthquake in Chilean history strikes Chillán.,False
24,1946,the United Nations General Assembly passes its first resolution to establish the United Nations Atomic Energy Commission,January 24 is the day in 1946 that the United Nations General Assembly passes its first resolution to establish the United Nations Atomic Energy Commission.,False
24,1947,greek banker Dimitrios Maximos becomes Prime Minister of Greece,January 24 is the day in 1947 that greek banker Dimitrios Maximos becomes Prime Minister of Greece.,False
24,1977,"Massacre of Atocha in Madrid, during the Spanish transition to democracy","January 24 is the day in 1977 that Massacre of Atocha in Madrid, during the Spanish transition to democracy.",False
24,1984,the first Apple Macintosh goes on sale,January 24 is the day in 1984 that the first Apple Macintosh goes on sale.,False
24,1986,"Voyager 2 passes within 81,500 kilometres (50,600 mi) of Uranus","January 24 is the day in 1986 that Voyager 2 passes within 81,500 kilometres (50,600 mi) of Uranus.",False
24,2003,the United States Department of Homeland Security officially begins operation,January 24 is the day in 2003 that the United States Department of Homeland Security officially begins operation.,False
24,2009,"the storm Klaus makes landfall near Bordeaux, France","January 24 is the day in 2009 that the storm Klaus makes landfall near Bordeaux, France.",False
25,1348,"a strong earthquake strikes the South Alpine region of Friuli in modern Italy, causing considerable damage to buildings as far away as Rome","January 25 is the day in 1348 that a strong earthquake strikes the South Alpine region of Friuli in modern Italy, causing considerable damage to buildings as far away as Rome.",False
25,1494,Alfonso II becomes King of Naples,January 25 is the day in 1494 that Alfonso II becomes King of Naples.,False
25,1533,Henry VIII of England secretly marries his second wife Anne Boleyn,January 25 is the day in 1533 that Henry VIII of England secretly marries his second wife Anne Boleyn.,False
25,1573,"Battle of Mikatagahara, in Japan; Takeda Shingen defeats Tokugawa Ieyasu","January 25 is the day in 1573 that Battle of Mikatagahara, in Japan; Takeda Shingen defeats Tokugawa Ieyasu.",False
25,1575,"Luanda, the capital of Angola is founded by the Portuguese navigator Paulo Dias de Novais","January 25 is the day in 1575 that Luanda, the capital of Angola is founded by the Portuguese navigator Paulo Dias de Novais.",False
25,1704,"the Battle of Ayubale takes place, leading to the destruction of most of the Spanish missions in Florida","January 25 is the day in 1704 that the Battle of Ayubale takes place, leading to the destruction of most of the Spanish missions in Florida.",False
25,1755,Moscow University is established on Tatiana Day,January 25 is the day in 1755 that Moscow University is established on Tatiana Day.,False
25,1787,American Daniel Shays leads a rebellion to seize Federal arsenal to protest debtor's prisons,January 25 is the day in 1787 that American Daniel Shays leads a rebellion to seize Federal arsenal to protest debtor's prisons.,False
25,1791,the British Parliament passes the Constitutional Act of 1791 and splits the old Province of Quebec into Upper and Lower Canada,January 25 is the day in 1791 that the British Parliament passes the Constitutional Act of 1791 and splits the old Province of Quebec into Upper and Lower Canada.,False
