number,fact_fragment,fact_statement,was_submitted
24,"the factorial of 4 and a composite number, being the first number of the form 23q, where q is an odd prime","24 is the factorial of 4 and a composite number, being the first number of the form 23q, where q is an odd prime.",False
24,"a highly composite number, having more divisors than any smaller number","24 is a highly composite number, having more divisors than any smaller number.",False
24,a nonagonal number,24 is a nonagonal number.,False
24,the sum of the prime twins 11 and 13,24 is the sum of the prime twins 11 and 13.,False
24,a Harshad number,24 is a Harshad number.,False
24,a semi-meandric number,24 is a semi-meandric number.,False
24,"the second Granville number, the previous being 6 and the next being 28","24 is the second Granville number, the previous being 6 and the next being 28.",False
24,the largest integer that is evenly divisible by all natural numbers no larger than its square root,24 is the largest integer that is evenly divisible by all natural numbers no larger than its square root.,False
25,"a square number, being 5² = 5 × 5","25 is a square number, being 5² = 5 × 5.",False
25,"a centered octagonal number, a centered square number, and an automorphic number","25 is a centered octagonal number, a centered square number, and an automorphic number.",False
25,an aliquot sum of 6 and number 6 is the first (or smallest) number to have an aliquot sequence that does not culminate in 0 through a prime,25 is an aliquot sum of 6 and number 6 is the first (or smallest) number to have an aliquot sequence that does not culminate in 0 through a prime.,False
25,also a Cullen number,25 is also a Cullen number.,False
25,the smallest aspiring number — a composite non-sociable number whose aliquot sequence does not terminate,25 is the smallest aspiring number — a composite non-sociable number whose aliquot sequence does not terminate.,False
25,the formula in this list can be described as 10n * Z + (2Z + 1) where n clearly depends on the number of digits in Z and in 2Z+1,25 is the formula in this list can be described as 10n * Z + (2Z + 1) where n clearly depends on the number of digits in Z and in 2Z+1.,False
26,the only positive integer that is one greater than a square (25 = 52) and one less than a cube (27 = 33),26 is the only positive integer that is one greater than a square (25 = 52) and one less than a cube (27 = 33).,False
26,a repdigit in base three (222) and in base twelve (22),26 is a repdigit in base three (222) and in base twelve (22).,False
27,"a perfect cube, being 33 = 3 × 3 × 3","27 is a perfect cube, being 33 = 3 × 3 × 3.",False
27,the twenty-eighth (and twenty-ninth) digit in π,27 is the twenty-eighth (and twenty-ninth) digit in π.,False
20,the basis for vigesimal number systems,20 is the basis for vigesimal number systems.,False
20,"the third composite number comprising the product of a squared prime and a prime, and also the second member of the (22)q family in this form","20 is the third composite number comprising the product of a squared prime and a prime, and also the second member of the (22)q family in this form.",False
20,an aliquot sum of 22 (110% in abundance),20 is an aliquot sum of 22 (110% in abundance).,False
20,the smallest primitive abundant number,20 is the smallest primitive abundant number.,False
20,the 4th composite number in the 7-aliquot tree,20 is the 4th composite number in the 7-aliquot tree.,False
20,the number of quarter or half turns required to optimally solve a Rubik's cube in the worst case,20 is the number of quarter or half turns required to optimally solve a Rubik's cube in the worst case.,False
21,the fifth discrete Semiprime and the second in the (3.q) family,21 is the fifth discrete Semiprime and the second in the (3.q) family.,False
