number,fact_fragment,fact_statement,was_submitted
24,the number of books in the Tanakh,24 is the number of books in the Tanakh.,False
24,"in Christian apocalyptic literature it represents the complete Church, being the sum of the 12 tribes of Israel and the 12 Apostles of the Lamb of God","24 is in Christian apocalyptic literature it represents the complete Church, being the sum of the 12 tribes of Israel and the 12 Apostles of the Lamb of God.",False
24,Number of Tirthankaras,24 is Number of Tirthankaras.,False
24,the number of teams that participated in each FIFA World Cup finals tournament between 1982 and 1994,24 is the number of teams that participated in each FIFA World Cup finals tournament between 1982 and 1994.,False
24,Four-and-Twenty was an American racehorse,24 is Four-and-Twenty was an American racehorse.,False
24,the number of accepted runners in the Melbourne Cup,24 is the number of accepted runners in the Melbourne Cup.,False
24,the number of a car in the NASCAR Sprint Cup Series owned by Hendrick Motorsports,24 is the number of a car in the NASCAR Sprint Cup Series owned by Hendrick Motorsports.,False
24,"the number of bits a computer needs to represent TrueColor images (for a maximum of 16,777,216 colours)","24 is the number of bits a computer needs to represent TrueColor images (for a maximum of 16,777,216 colours).",False
24,the number of carats representing 100% pure gold,24 is the number of carats representing 100% pure gold.,False
24,the number of cycles in the Chinese solar year,24 is the number of cycles in the Chinese solar year.,False
24,the number of frames per second at which motion picture film is usually projected,24 is the number of frames per second at which motion picture film is usually projected.,False
24,the number of hours in a day,24 is the number of hours in a day.,False
24,the number of letters in both the modern and classical Greek alphabet,24 is the number of letters in both the modern and classical Greek alphabet.,False
24,the number of points on a backgammon board,24 is the number of points on a backgammon board.,False
24,the maximum number of Knight Companions in the Order of the Garter,24 is the maximum number of Knight Companions in the Order of the Garter.,False
24,Slang for ecstasy,24 is Slang for ecstasy.,False
24,"in Brazil, the number is associated with homosexuals due to the number representing the deer in the gambling game Jogo do Bicho and the word viado (a misspelling of veado, deer in Portuguese) being a slang for homosexuals","24 is in Brazil, the number is associated with homosexuals due to the number representing the deer in the gambling game Jogo do Bicho and the word viado (a misspelling of veado, deer in Portuguese) being a slang for homosexuals.",False
24,the atomic number of chromium,24 is the atomic number of chromium.,False
25,in The Book of Revelation's New International Version (©1984),25 is in The Book of Revelation's New International Version (©1984).,False
25,"the size of the full roster on a Major League Baseball team for most of the season, except for regular-season games on or after September 1, when teams may expand their roster to no more than 40 players","25 is the size of the full roster on a Major League Baseball team for most of the season, except for regular-season games on or after September 1, when teams may expand their roster to no more than 40 players.",False
25,the number of years of marriage marked in a silver wedding anniversary,25 is the number of years of marriage marked in a silver wedding anniversary.,False
25,the minimum age of candidates for election to the United States House of Representatives,25 is the minimum age of candidates for election to the United States House of Representatives.,False
25,the number of cents in a quarter,25 is the number of cents in a quarter.,False
25,the usual TCP port for SMTP,25 is the usual TCP port for SMTP.,False
25,the (critical) number of Florida electoral votes for the 2000 U.S. presidential election,25 is the (critical) number of Florida electoral votes for the 2000 U.S. presidential election.,False
25,"""twentyfive"", design studio in the Czech Republic","25 is ""twentyfive"", design studio in the Czech Republic.",False
25,the per-second frame rate of the PAL video standard,25 is the per-second frame rate of the PAL video standard.,False
25,the number of the French department Doubs,25 is the number of the French department Doubs.,False
25,the atomic number of manganese,25 is the atomic number of manganese.,False
26,no team in the NBA or NFL has retired the number,26 is no team in the NBA or NFL has retired the number.,False
26,"a 2003 novel by Leo McKay, Jr.","26 is a 2003 novel by Leo McKay, Jr..",False
26,"the number of letters in the English and Interlingua alphabets, if capital letters are not distinguished from lowercase letters","26 is the number of letters in the English and Interlingua alphabets, if capital letters are not distinguished from lowercase letters.",False
